Arcitectural Category	Publicity	Instruction Name	Operand Format	Op_A	OP_B	Op_C	Op_D	Op_EJ	Op_FK	Op_G	Instruction Code[31:0]	Source Register	Register Read Stage	Register Read Stage G3MH	Destination Register	Register Available Stage	Register Available Stage G3MH	Register Available Stage G3KH	Write Back Stage	Parallel Group	Parallel Group Changed	Parallel Group G3KH	Fusion Instruction Type	ID divided	RN divided	DP divided	WB divided	EX issue limit	CM limit	Instruction Group V850	Issue Rate	Issue Rate G3MH	Issue Rate G3KH	Cycle Calculation Type	Load Type	RS resource1	RS resource2	EX resource1	EX resource2	PSW.CC Dependency	dummy	Branch Type	Branch Type G3MH	Branch Type G3KH	Privilege Type	Copro Type	Mei instruction type	Mdp exception code bit	Library Function Name	Instruction Size	Decode Type	Argument Type	Note
V850		prepare list12,imm5,sp/imm	prepare32 L[31:21.0],I[5:1],I[63:32]	00000	11110i	iiiiL	LLLLL	LLLLLL	11011	I32	LLLLLLLLLLL110110000011110iiiiiL	SP/REGS	1/1		SP/EP	2/2		3/3		8_1				2						SP	2		3	LAT_PREP		INT		INT									12	23	PREPARE_I32	64	BaF-	RS_SP_EP	
V850		pushsp rh-rt	pushsp R[4:0],R[31:27]	01000	111111	iiiii	IIIII	00101	100000		IIIII0010110000001000111111iiiii	SP/REGS	1/1		SP	1		2		8_1				1						SP	1	1	2	LAT_PUSH		INT		INT									13	23	PUSHSP	32	BKJA-	RH_RT_SP	
V850		rie 	rie	00000	000010	00000	-----	------	-----		----------------0000000001000000									8_1										SP	8	8	1			INT		INT											RIE	16	BcA-	NONE	
V850		rie imm5,imm4	rie5 I[15:11],I[3:0]	xxxxx	111111	1xxxx	00000	00000	000000		0000000000000000xxxxx1111111xxxx									8_1										SP	8	8	1			INT		INT											RIE_I9	32	BKJDC-	NONE	
V850		rotl imm5,reg2,reg3	rotl5 IU[4:0],R[15:11],R[31:27]	rrrrr	111111	iiiii	wwwww	00011	000100		wwwww00011000100rrrrr111111iiiii	REG2	1		REG3	1				2_1										SHI	1					INT		INT		SET									ROTL_I5	32	BKJ-	R2_R3	
V850		rotl reg1,reg2,reg3	rotl R[4:0],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	00011	000110		wwwww00011000110rrrrr111111RRRRR	REG2/REG1	1/1		REG3	1				2_1										SHI	1					INT		INT		SET									ROTL_R3	32	BKJ-	R1_R2_R3	
V850		sar imm5,reg2	sar5 IU[4:0],R[15:11]	rrrrr	010101	iiiii	-----	------	-----		----------------rrrrr010101iiiii	REG2	1		REG2	1				2_1			ALU1ST_MOV2ND							SHI	1					INT		INT		SET									SAR_I5	16	B-	R2	
V850		sar reg1,reg2	sar R[4:0],R[15:11]	rrrrr	111111	RRRRR	00000	00010	100000		0000000010100000rrrrr111111RRRRR	REG2/REG1	1/1		REG2	1				2_1										SHI	1					INT		INT		SET									SAR	32	BKJD-	R1_R2	
V850		sar reg1,reg2,reg3	sarw R[4:0],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	00010	100010		wwwww00010100010rrrrr111111RRRRR	REG2/REG1	1/1		REG3	1				2_1										SHI	1					INT		INT		SET									SAR_R3	32	BKJ-	R1_R2_R3	
V850		sasf cccc,reg2	sasf C[4:0],R[15:11]	rrrrr	111111	0cccc	00000	01000	000000		0000001000000000rrrrr1111110cccc	REG2	1		REG2	1				2_2										SHI	1					INT		INT		USE									SASF	32	BKJDC-	R2	
V850		satadd imm5,reg2	satadd5 I[4:0],R[15:11]	rrrrr	010001	iiiii	-----	------	-----		----------------rrrrr010001iiiii	REG2	1		REG2	1				1_2										SAT	1					INT		INT		SET									SATADD_I5	16	Ba-	R2	rrrrr!=00000
V850		satadd reg1,reg2	satadd R[4:0],R[15:11]	rrrrr	000110	RRRRR	-----	------	-----		----------------rrrrr000110RRRRR	REG2/REG1	1/1		REG2	1				1_2										SAT	1					INT		INT		SET									SATADD	16	Ba-	R1_R2	rrrrr!=00000
V850		satadd reg1,reg2,reg3	sataddw R[4:0],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	01110	111010		wwwww01110111010rrrrr111111RRRRR	REG2/REG1	1/1		REG3	1				1_2										SAT	1					INT		INT		SET									SATADD_R3	32	BKJ-	R1_R2_R3	
V850		satsub reg1,reg2	satsub R[4:0],R[15:11]	rrrrr	000101	RRRRR	-----	------	-----		----------------rrrrr000101RRRRR	REG2/REG1	1/1		REG2	1				1_2										SAT	1					INT		INT		SET									SATSUB	16	Ba-	R1_R2	rrrrr!=00000
V850		satsub reg1,reg2,reg3	satsubw R[4:0],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	01110	011010		wwwww01110011010rrrrr111111RRRRR	REG2/REG1	1/1		REG3	1				1_2										SAT	1					INT		INT		SET									SATSUB_R3	32	BKJ-	R1_R2_R3	
V850		satsubi imm16,reg1,reg2	satsubi I[31:16],R[4:0],R[15:11]	rrrrr	110011	RRRRR	iiiii	iiiiii	iiiii		iiiiiiiiiiiiiiiirrrrr110011RRRRR	REG1	1		REG2	1				1_2										SAT	1					INT		INT		SET									SATSUBI	32	Ba-	R1_R2	rrrrr!=00000
V850		satsubr reg1,reg2	satsubr R[4:0],R[15:11]	rrrrr	000100	RRRRR	-----	------	-----		----------------rrrrr000100RRRRR	REG2/REG1	1/1		REG2	1				1_2										SAT	1					INT		INT		SET									SATSUBR	16	Ba-	R1_R2	rrrrr!=00000
V850		sbf cccc,reg1,reg2,reg3	sbf C[20:17],R[4:0],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	01110	0cccc0		wwwww011100cccc0rrrrr111111RRRRR	REG2/REG1	1/1		REG3	1				8_1										ALC	1					INT		INT		SET_USE									SBF	32	BWJ-	R1_R2_R3	cccc!=1101
V850		sch0l reg2,reg3	sch0l R[15:11],R[31:27]	rrrrr	111111	00000	wwwww	01101	100100		wwwww01101100100rrrrr11111100000	REG2	1		REG3	1				2_1										BSC	1					INT		INT		SET									SCH0L	32	BKJC-	R2_R3	
V850		sch0r reg2,reg3	sch0r R[15:11],R[31:27]	rrrrr	111111	00000	wwwww	01101	100000		wwwww01101100000rrrrr11111100000	REG2	1		REG3	1				2_1										BSC	1					INT		INT		SET									SCH0R	32	BKJC-	R2_R3	
V850		sch1l reg2,reg3	sch1l R[15:11],R[31:27]	rrrrr	111111	00000	wwwww	01101	100110		wwwww01101100110rrrrr11111100000	REG2	1		REG3	1				2_1										BSC	1					INT		INT		SET									SCH1L	32	BKJC-	R2_R3	
V850		sch1r reg2,reg3	sch1r R[15:11],R[31:27]	rrrrr	111111	00000	wwwww	01101	100010		wwwww01101100010rrrrr11111100000	REG2	1		REG3	1				2_1										BSC	1					INT		INT		SET									SCH1R	32	BKJC-	R2_R3	
V850		set1 bit#3,disp16[reg1]	set1 B[13:11],D[31:16][R[4:0]]	00bbb	111110	RRRRR	ddddd	dddddd	ddddd		dddddddddddddddd00bbb111110RRRRR	REG1	1		PSWCC	8		4		7_1		3_3			2					BIT	1	1	3	RMW	RMW	LS		LS		SET							9	22	SET1_B3	32	BA-	R1_SELF	
V850		set1 reg2,[reg1]	set1r R[15:11],[R[4:0]]	rrrrr	111111	RRRRR	00000	00011	100000		0000000011100000rrrrr111111RRRRR	REG1/REG2	1/1		PSWCC	8		4		7_1		3_3			2					BIT	1	1	3	RMW	RMW	LS		LS		SET							9	22	SET1	32	BKJD-	R1_R2_SELF	
V850		setf cond,reg2	setf C[4:0],R[15:11]	rrrrr	111111	0CCCC	00000	00000	000000		0000000000000000rrrrr1111110CCCC				REG2	1				2_2										SHI	1					INT		INT		USE									SETF	32	BKJDC-	R2	
V850		shl imm5,reg2	shl5 IU[4:0],R[15:11]	rrrrr	010110	iiiii	-----	------	-----		----------------rrrrr010110iiiii	REG2	1		REG2	1				2_1		1_4	ALU1ST_MOV2ND							SHI	1					INT		INT		SET									SHL_I5	16	B-	R2	
V850		shl reg1,reg2	shl R[4:0],R[15:11]	rrrrr	111111	RRRRR	00000	00011	000000		0000000011000000rrrrr111111RRRRR	REG2/REG1	1/1		REG2	1				2_1										SHI	1					INT		INT		SET									SHL	32	BKJD-	R1_R2	
V850		shl reg1,reg2,reg3	shlw R[4:0],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	00011	000010		wwwww00011000010rrrrr111111RRRRR	REG2/REG1	1/1		REG3	1				2_1										SHI	1					INT		INT		SET									SHL_R3	32	BKJ-	R1_R2_R3	
V850		shr imm5,reg2	shr5 IU[4:0],R[15:11]	rrrrr	010100	iiiii	-----	------	-----		----------------rrrrr010100iiiii	REG2	1		REG2	1				2_1		1_4	ALU1ST_MOV2ND							SHI	1					INT		INT		SET									SHR_I5	16	B-	R2	
V850		shr reg1,reg2	shr R[4:0],R[15:11]	rrrrr	111111	RRRRR	00000	00010	000000		0000000010000000rrrrr111111RRRRR	REG2/REG1	1/1		REG2	1				2_1										SHI	1					INT		INT		SET									SHR	32	BKJD-	R1_R2	
V850		shr reg1,reg2,reg3	shrw R[4:0],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	00010	000010		wwwww00010000010rrrrr111111RRRRR	REG2/REG1	1/1		REG3	1				2_1										SHI	1					INT		INT		SET									SHR_R3	32	BKJ-	R1_R2_R3	
V850		sld.b disp7[ep],reg2	sld.b DU[6:0][ep],R[15:11]	rrrrr	0110dd	ddddd	-----	------	-----		----------------rrrrr0110ddddddd	EP	1		REG2	3		2		3_3										LD	1				S8	LS		LS									0		SLDB	16	B-	R2_EP	
V850		sld.bu disp4[ep],reg2	sld.bu DU[3:0][ep],R[15:11]	rrrrr	000011	0dddd	-----	------	-----		----------------rrrrr0000110dddd	EP	1		REG2	3		2		3_3										LD	1				U8	LS		LS									0		SLDBU	16	BaC-	R2_EP	rrrrr!=00000
V850		sld.h disp8[ep],reg2	sld.h DU[6:0]<<1[ep],R[15:11]	rrrrr	1000dd	ddddd	-----	------	-----		----------------rrrrr1000ddddddd	EP	1		REG2	3		2		3_3										LD	1				S16	LS		LS									0		SLDH	16	B-	R2_EP	
V850		sld.hu disp5[ep],reg2	sld.hu DU[3:0]<<1[ep],R[15:11]	rrrrr	000011	1dddd	-----	------	-----		----------------rrrrr0000111dddd	EP	1		REG2	3		2		3_3										LD	1				U16	LS		LS									0		SLDHU	16	BaC-	R2_EP	rrrrr!=00000
V850		sld.w disp8[ep],reg2	sld.w DU[6:1]<<2[ep],R[15:11]	rrrrr	1010dd	dddd0	-----	------	-----		----------------rrrrr1010dddddd0	EP	1		REG2	3		2		3_3										LD	1				U32	LS		LS									0		SLDW	16	BC-	R2_EP	
V850		snooze	snooze	00001	111111	00000	00000	00100	100000		00000001001000000000111111100000									6_1									SINGLE	SP	1					DP		DP											SNOOZE	32	BKJDCA-	NONE	
V850		sst.b reg2,disp7[ep]	sst.b R[15:11],DU[6:0][ep]	rrrrr	0111dd	ddddd	-----	------	-----		----------------rrrrr0111ddddddd	EP/REG2	1/1							3_3		2_1								ST	1		3			LS		LS									0		SSTB	16	B-	R2_EP	
V850		sst.h reg2,disp8[ep]	sst.h R[15:11],DU[6:0]<<1[ep]	rrrrr	1001dd	ddddd	-----	------	-----		----------------rrrrr1001ddddddd	EP/REG2	1/1							3_3		2_1								ST	1		3			LS		LS									0		SSTH	16	B-	R2_EP	
V850		sst.w reg2,disp8[ep]	sst.w R[15:11],DU[6:1]<<2[ep]	rrrrr	1010dd	dddd1	-----	------	-----		----------------rrrrr1010dddddd1	EP/REG2	1/1							3_3		2_1								ST	1		1			LS		LS									0		SSTW	16	BC-	R2_EP	
V850		st.b reg2,disp16[reg1]	st.b R[15:11],DU[31:16][R[4:0]]	rrrrr	111010	RRRRR	ddddd	dddddd	ddddd		ddddddddddddddddrrrrr111010RRRRR	REG1/REG2	1/1							3_3		2_2								ST	1		3			LS		LS									1		STB_D16	32	B-	R1_R2	
V850		st.b reg3,disp23[reg1]	st.b23 R[31:27],DU[47:32.26:20][R[4:0]]	00000	111100	RRRRR	wwwww	dddddd	d1101	D16	wwwwwddddddd110100000111100RRRRR	REG1/REG3	1/1							7_1	3_3									ST	1		3	LONG_INST		LS		LS									2		STB_D23	48	BaF-	R1_R3	
V850		st.dw reg3,disp23[reg1]	st.dw R[31:27],DU[47:32.26:21]<<1[R[4:0]]	00000	111101	RRRRR	wwwww	dddddd	01111	D16	wwwwwdddddd0111100000111101RRRRR	REG1/REG3/REG3+1	1/1/1							8_1	3_3				2					ST	1		2	DW		LS		LS									2		STDW_D23	48	BaF-	R1_DR3	
V850		st.h reg2,disp16[reg1]	st.h R[15:11],DU[31:17]<<1[R[4:0]]	rrrrr	111011	RRRRR	ddddd	dddddd	dddd0		ddddddddddddddd0rrrrr111011RRRRR	REG1/REG2	1/1							3_3		2_2								ST	1		3			LS		LS									1		STH_D16	32	BF-	R1_R2	
V850		st.h reg3,disp23[reg1]	st.h23 R[31:27],DU[47:32.26:21]<<1[R[4:0]]	00000	111101	RRRRR	wwwww	dddddd	01101	D16	wwwwwdddddd0110100000111101RRRRR	REG1/REG3	1/1							7_1	3_3									ST	1		3	LONG_INST		LS		LS									2		STH_D23	48	BaF-	R1_R3	
V850		st.w reg2,disp16[reg1]	st.w R[15:11],DU[31:17]<<1[R[4:0]]	rrrrr	111011	RRRRR	ddddd	dddddd	dddd1		ddddddddddddddd1rrrrr111011RRRRR	REG1/REG2	1/1							3_3		2_2								ST	1					LS		LS									1		STW_D16	32	BF-	R1_R2	
V850		st.w reg3,disp23[reg1]	st.w23 R[31:27],DU[47:32.26:21]<<1[R[4:0]]	00000	111100	RRRRR	wwwww	dddddd	01111	D16	wwwwwdddddd0111100000111100RRRRR	REG1/REG3	1/1							7_1	3_3									ST	1			LONG_INST		LS		LS									2		STW_D23	48	BaF-	R1_R3	
V850		stc.w reg3,[reg1]	stc.w R[31:27],[R[4:0]]	00000	111111	RRRRR	wwwww	01101	111010		wwwww0110111101000000111111RRRRR	REG1/REG3	1/1		REG3	6		1		7_1										SP	8			STC		LS		LS									7		STCW	32	BKJA-	R1_R3	
V850		stsr regid,reg2,selid	stsr SR[4:0],R[15:11],SEL[31:27]	rrrrr	111111	RRRRR	sssss	00001	000000		sssss00001000000rrrrr111111RRRRR				REG2	3		1		2_4								SRU		SP	1		2			INT		SRU							SP				STSR	32	BKJ-	R2	
V850		sub reg1,reg2	sub R[4:0],R[15:11]	rrrrr	001101	RRRRR	-----	------	-----		----------------rrrrr001101RRRRR	REG2/REG1	1/1		REG2	1				1_2		1_1	ALU1ST_MOV2ND							AL	1					INT		INT		SET									SUB	16	B-	R1_R2	
V850		subr reg1,reg2	subr R[4:0],R[15:11]	rrrrr	001100	RRRRR	-----	------	-----		----------------rrrrr001100RRRRR	REG2/REG1	1/1		REG2	1				1_2		1_1	ALU1ST_MOV2ND							AL	1					INT		INT		SET									SUBR	16	B-	R1_R2	
V850		switch reg1	switch R[4:0]	00000	000010	RRRRR	-----	------	-----		----------------00000000010RRRRR	REG1	1		PC	1				7_1				3				LSBR		SP	18	18	6	LAT_SW	SWITCH	LS	INT	LS	BRU			B	BP				16		SWITCH	16	Bca-	R1_SELF	RRRRR!=00000
V850		sxb reg1	sxb R[4:0]	00000	000101	RRRRR	-----	------	-----		----------------00000000101RRRRR	REG1	1		REG1	1				2_1										SHI	1					INT		INT											SXB	16	Ba-	R1	
V850		sxh reg1	sxh R[4:0]	00000	000111	RRRRR	-----	------	-----		----------------00000000111RRRRR	REG1	1		REG1	1				2_1										SHI	1					INT		INT											SXH	16	Ba-	R1	
V850		synce 	synce	00000	000000	11101	-----	------	-----		----------------0000000000011101									6_1										SP	1	1	6			DP		DP											SYNCE	16	BaC-	NONE	
V850		synci	synci	00000	000000	11100	-----	------	-----		----------------0000000000011100									6_1										SP	3	3	6	SYNC		INT		INT											SYNCI	16	BaC-	SYNC_R	
V850		syncm 	syncm	00000	000000	11110	-----	------	-----		----------------0000000000011110									7_1										SP	3	3	58	SYNC		DP		DP											SYNCM	16	BaC-	SYNC_RW	
V850		syncp 	syncp	00000	000000	11111	-----	------	-----		----------------0000000000011111									6_1										SP	3	3	6	SYNC		DP		DP											SYNCP	16	BaC-	SYNC_R	
V850		syscall vector8	syscall V[29:27.4:0]	11010	111111	vvvvv	00VVV	00101	100000		00VVV0010110000011010111111vvvvv									7_1				2				LSBR	SINGLE_JMP	SP	17	17	10	LAT_CALL	SYSCALL	LS	INT	LS	BRU			B					18		SYSCALL	32	BKJAD-	SELF	
V850		trap vector5	trap V[4:0]	00000	111111	iiiii	00000	00100	000000		000000010000000000000111111iiiii									6_1									SINGLE	SP	8	8	7			DP		DP				B							TRAP	32	BKJAD-	NONE	
V850		tst reg1,reg2	tst R[4:0],R[15:11]	rrrrr	001011	RRRRR	-----	------	-----		----------------rrrrr001011RRRRR	REG2/REG1	1/1		PSWCC	1				1_2			ALU1ST							LOG	1					INT		INT		SET									TST	16	B-	R1_R2	
V850		tst1 bit#3,disp16[reg1]	tst1b B[13:11],D[31:16][R[4:0]]	11bbb	111110	RRRRR	ddddd	dddddd	ddddd		dddddddddddddddd11bbb111110RRRRR	REG1	1		PSWCC	8				7_1		3_3			2					BIT	1	1	3	RMW	RMW	LS		LS		SET							9		TST1_B3	32	BA-	R1_SELF	
V850		tst1 reg2,[reg1]	tst1 R[15:11],[R[4:0]]	rrrrr	111111	RRRRR	00000	00011	100110		0000000011100110rrrrr111111RRRRR	REG1/REG2	1/1		PSWCC	8				7_1		3_3			2					BIT	1	1	3	RMW	RMW	LS		LS		SET							9		TST1	32	BKJD-	R1_R2_SELF	
V850		xor reg1,reg2	xor R[4:0],R[15:11]	rrrrr	001001	RRRRR	-----	------	-----		----------------rrrrr001001RRRRR	REG2/REG1	1/1		REG2	1				1_2			ALU1ST_MOV2ND							LOG	1					INT		INT		SET									XOR	16	B-	R1_R2	
V850		xori imm16,reg1,reg2	xori IU[31:16],R[4:0],R[15:11]	rrrrr	110101	RRRRR	iiiii	iiiiii	iiiii		iiiiiiiiiiiiiiiirrrrr110101RRRRR	REG1	1		REG2	1				1_2										LOG	1					INT		INT		SET									XORI	32	B-	R1_R2	
V850		zxb reg1	zxb R[4:0]	00000	000100	RRRRR	-----	------	-----		----------------00000000100RRRRR	REG1	1		REG1	1				2_1										SHI	1					INT		INT											ZXB	16	Ba-	R1	
V850		zxh reg1	zxh R[4:0]	00000	000110	RRRRR	-----	------	-----		----------------00000000110RRRRR	REG1	1		REG1	1				2_1										SHI	1					INT		INT											ZXH	16	Ba-	R1	
DBG		dbcp	dbcp	11101	000010	00000	-----	------	-----		----------------1110100001000000									6_1									SINGLE	DBG	1					DP		DP											DBCP	16	BcA-	NONE	
DBG		dbpush rh-rt	dbpush R[4:0],R[31:27]	01011	111111	RRRRR	wwwww	00101	100000		wwwww0010110000001011111111RRRRR	REGS	1							6_1				1					SINGLE	DBG	1					DP		DP											DBPUSH	32	BKJA-	NONE	
DBG		dbret	dbret	00000	111111	00000	00000	00101	000110		00000001010001100000011111100000				PSWCC	8	8			6_1									SINGLE	DBG	8	8	7	RET_SYNC		DP		DP		SET		B			DB				DBRET	32	BKJADC-	NONE	
DBG		dbtag imm10	dbtag I[31:27.4:0]	11001	111111	iiiii	IIIII	00101	100000		IIIII0010110000011001111111iiiii									6_1									SINGLE	DBG	1					INT		INT											DBTAG	32	BKJA-	NONE	
DBG		dbtrap	dbtrap	11111	000010	00000	-----	------	-----		----------------1111100001000000									6_1									SINGLE	DBG	8	8	7			DP		DP				B							DBTRAP	16	BcA-	NONE	
FPU		absf.d reg2,reg3	absf.d R[15:12]<<1,R[31:28]<<1	rrrr0	111111	00000	wwww0	10001	011000		wwww010001011000rrrr011111100000	REG2/REG2+1	1/1		REG3/REG3+1	4/4		5/5		8_1							2			FPU	1			FPU_2RS		FPU		FPU								FPU			ABSFD	32	BKJCDA-	DR2_DR3	
FPU		absf.s reg2,reg3	absf.s R[15:11],R[31:27]	rrrrr	111111	00000	wwwww	10001	001000		wwwww10001001000rrrrr11111100000	REG2	1		REG3	4		5		2_8										FPU	1			FPU_FPP		FPU		FPU								FPU			ABSFS	32	BKJC-	R2_R3	
FPU		addf.d reg1,reg2,reg3	addf.d R[4:1]<<1,R[15:12]<<1,R[31:28]<<1	rrrr0	111111	RRRR0	wwww0	10001	110000		wwww010001110000rrrr0111111RRRR0	REG2/REG2+1/REG1/REG1+1	1/1/1/1		REG3/REG3+1	4/4		5/5		8_1					2					FPU	1			FPU_2RS		FPU		FPU								FPU			ADDFD	32	BKJCDA-	DR1_DR2_DR3	
FPU		addf.s reg1,reg2,reg3	addf.s R[4:0],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	10001	100000		wwwww10001100000rrrrr111111RRRRR	REG2/REG1	1/1		REG3	4		5		2_8										FPU	1			FPU_FPP		FPU		FPU								FPU			ADDFS	32	BKJ-	R1_R2_R3	
FPU		ceilf.dl reg2,reg3	ceilf.dl R[15:12]<<1,R[31:28]<<1	rrrr0	111111	00010	wwww0	10001	010100		wwww010001010100rrrr011111100010	REG2/REG2+1	1/1		REG3/REG3+1	4/4		5/5		8_1							2			FPU	1		2	FPU_2RS		FPU		FPU								FPU			CEILFDL	32	BKJCDA-	DR2_DR3	
FPU		ceilf.dul reg2,reg3	ceilf.dul R[15:12]<<1,R[31:28]<<1	rrrr0	111111	10010	wwww0	10001	010100		wwww010001010100rrrr011111110010	REG2/REG2+1	1/1		REG3/REG3+1	4/4		5/5		8_1							2			FPU	1		2	FPU_2RS		FPU		FPU								FPU			CEILFDUL	32	BKJCDA-	DR2_DR3	
FPU		ceilf.duw reg2,reg3	ceilf.duw R[15:12]<<1,R[31:27]	rrrr0	111111	10010	wwwww	10001	010000		wwwww10001010000rrrr011111110010	REG2/REG2+1	1/1		REG3	4		5		8_1										FPU	1			FPU_2RS		FPU		FPU								FPU			CEILFDUW	32	BKJCDA-	DR2_R3	
FPU		ceilf.dw reg2,reg3	ceilf.dw R[15:12]<<1,R[31:27]	rrrr0	111111	00010	wwwww	10001	010000		wwwww10001010000rrrr011111100010	REG2/REG2+1	1/1		REG3	4		5		8_1										FPU	1			FPU_2RS		FPU		FPU								FPU			CEILFDW	32	BKJCDA-	DR2_R3	
FPU		ceilf.sl reg2,reg3	ceilf.sl R[15:11],R[31:28]<<1	rrrrr	111111	00010	wwww0	10001	000100		wwww010001000100rrrrr11111100010	REG2	1		REG3/REG3+1	4/4		5/5		2_8							2			FPU	1		2	FPU_FPP		FPU		FPU								FPU			CEILFSL	32	BKJCD-	R2_DR3	
FPU		ceilf.sul reg2,reg3	ceilf.sul R[15:11],R[31:28]<<1	rrrrr	111111	10010	wwww0	10001	000100		wwww010001000100rrrrr11111110010	REG2	1		REG3/REG3+1	4/4		5/5		2_8							2			FPU	1		2	FPU_FPP		FPU		FPU								FPU			CEILFSUL	32	BKJCD-	R2_DR3	
FPU		ceilf.suw reg2,reg3	ceilf.suw R[15:11],R[31:27]	rrrrr	111111	10010	wwwww	10001	000000		wwwww10001000000rrrrr11111110010	REG2	1		REG3	4		5		2_8										FPU	1			FPU_FPP		FPU		FPU								FPU			CEILFSUW	32	BKJC-	R2_R3	
FPU		ceilf.sw reg2,reg3	ceilf.sw R[15:11],R[31:27]	rrrrr	111111	00010	wwwww	10001	000000		wwwww10001000000rrrrr11111100010	REG2	1		REG3	4		5		2_8										FPU	1			FPU_FPP		FPU		FPU								FPU			CEILFSW	32	BKJC-	R2_R3	
FPU		cmovf.d fcbit,reg1,reg2,reg3	cmovf.d FCB[19:17],R[4:1]<<1,R[15:12]<<1,R[31:28]<<1	rrrr0	111111	RRRR0	wwww0	10000	01fff0		wwww01000001fff0rrrr0111111RRRR0	REG1/REG1+1/REG2/REG2+1	1/1/1/1		REG3/REG3+1	4/4		5/5		8_1					2					FPU	1			CMOVFD		FPU		FPU								FPU			CMOVFD	32	BKJdCA-	DR1_DR2_DR3	wwww!=0000
FPU		cmovf.s fcbit,reg1,reg2,reg3	cmovf.s FCB[19:17],R[4:0],R[15:11],R[31:27]	rrrrr	111111	RRRRR	wwwww	10000	00fff0		wwwww1000000fff0rrrrr111111RRRRR	REG1/REG2	1/1		REG3	4		5		2_8										FPU	1			CMOVF		FPU		FPU								FPU			CMOVFS	32	BKJd-	R1_R2_R3	wwwww!=00000
FPU		cmpf.d fcond,reg2,reg1,fcbit	cmpf.d FCO[30:27],R[15:12]<<1,R[4:1]<<1,FCB[19:17]	rrrr0	111111	RRRR0	0FFFF	10000	11fff0		0FFFF1000011fff0rrrr0111111RRRR0	REG2/REG2+1/REG1/REG1+1	1/1/1/1		FPSR.CC	4		5		8_1					2					FPU	1			UP_FPCCD		FPU		FPU								FPU			CMPFD	32	BKJCDA-	DR1_DR2	
FPU		cmpf.s fcond,reg2,reg1,fcbit	cmpf.s FCO[30:27],R[15:11],R[4:0],FCB[19:17]	rrrrr	111111	RRRRR	0FFFF	10000	10fff0		0FFFF1000010fff0rrrrr111111RRRRR	REG2/REG1	1/1		FPSR.CC	4		5		2_8										FPU	1			UP_FPCC		FPU		FPU								FPU			CMPFS	32	BKJD-	R1_R2	
FPU		cvtf.dl reg2,reg3	cvtf.dl R[15:12]<<1,R[31:28]<<1	rrrr0	111111	00100	wwww0	10001	010100		wwww010001010100rrrr011111100100	REG2/REG2+1	1/1		REG3/REG3+1	4/4		5/5		8_1							2			FPU	1			FPU_2RS		FPU		FPU								FPU			CVTFDL	32	BKJCDA-	DR2_DR3	
FPU		cvtf.ds reg2,reg3	cvtf.ds R[15:12]<<1,R[31:27]	rrrr0	111111	00011	wwwww	10001	010010		wwwww10001010010rrrr011111100011	REG2/REG2+1	1/1		REG3	4		5		8_1										FPU	1			FPU_2RS		FPU		FPU								FPU			CVTFDS	32	BKJCDA-	DR2_R3	
FPU		cvtf.dul reg2,reg3	cvtf.dul R[15:12]<<1,R[31:28]<<1	rrrr0	111111	10100	wwww0	10001	010100		wwww010001010100rrrr011111110100	REG2/REG2+1	1/1		REG3/REG3+1	4/4		5/5		8_1							2			FPU	1			FPU_2RS		FPU		FPU								FPU			CVTFDUL	32	BKJCDA-	DR2_DR3	
FPU		cvtf.duw reg2,reg3	cvtf.duw R[15:12]<<1,R[31:27]	rrrr0	111111	10100	wwwww	10001	010000		wwwww10001010000rrrr011111110100	REG2/REG2+1	1/1		REG3	4		5		8_1										FPU	1			FPU_2RS		FPU		FPU								FPU			CVTFDUW	32	BKJCDA-	DR2_R3	
FPU		cvtf.dw reg2,reg3	cvtf.dw R[15:12]<<1,R[31:27]	rrrr0	111111	00100	wwwww	10001	010000		wwwww10001010000rrrr011111100100	REG2/REG2+1	1/1		REG3	4		5		8_1										FPU	1			FPU_2RS		FPU		FPU								FPU			CVTFDW	32	BKJCDA-	DR2_R3	
FPU		cvtf.ld reg2,reg3	cvtf.ld R[15:12]<<1,R[31:28]<<1	rrrr0	111111	00001	wwww0	10001	010010		wwww010001010010rrrr011111100001	REG2/REG2+1	1/1		REG3/REG3+1	4/4		5/5		8_1							2			FPU	1			FPU_2RS		FPU		FPU								FPU			CVTFLD	32	BKJCDA-	DR2_DR3	
FPU		cvtf.ls reg2,reg3	cvtf.ls R[15:12]<<1,R[31:27]	rrrr0	111111	00001	wwwww	10001	000010		wwwww10001000010rrrr011111100001	REG2/REG2+1	1/1		REG3	4		5		8_1										FPU	1			FPU_FPP		FPU		FPU								FPU			CVTFLS	32	BKJCDA-	DR2_R3	
FPU		cvtf.sd reg2,reg3	cvtf.sd R[15:11],R[31:28]<<1	rrrrr	111111	00010	wwww0	10001	010010		wwww010001010010rrrrr11111100010	REG2	1		REG3/REG3+1	4/4		5/5		2_8							2			FPU	1			FPU_2RS		FPU		FPU								FPU			CVTFSD	32	BKJCD-	R2_DR3	
